GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
AC004538.3 /// BC040327	9.8196	5.7896	7.2311	6.9512	4.3153	6.0182	5.2978	6.142	4.8724	5.9757
AC004692.5	10.4568	11.9163	11.4637	10.8224	11.0224	11.302	10.226	10.7098	10.4911	10.3688
AC004941.5	9.8623	7.7985	10.1737	8.8619	9.9327	9.4983	8.9854	8.4657	9.071	9.4508
AC004951.6 /// AX747182	9.8935	8.631	8.0125	8.4093	8.0119	9.6549	8.9202	9.7697	8.9097	8.2671
AC005162.4	5.1144	4.8729	7.473	6.1839	4.6514	4.2893	3.682	3.1531	4.8154	4.6092
AC005224.2	6.3319	5.2443	6.8844	6.6006	6.1471	6.0763	4.7634	7.0458	5.3693	4.462
AC005256.1	5.425	4.8111	5.3113	6.7716	3.6884	6.3206	4.744	4.2531	4.7933	3.8431
AC005306.3	7.5551	7.3397	7.3252	5.8813	6.1126	7.1629	7.0975	7.9417	7.3928	7.855
AC005498.3	5.5259	5.8967	4.1458	6.9431	5.1873	4.998	6.1736	6.6002	4.8959	5.4697
AC005523.2	9.1514	8.8759	8.9612	7.4161	8.9567	8.6479	8.5249	8.5034	8.6162	8.3294
AC005523.3	4.6216	5.7394	4.1721	8.0044	6.4859	5.8964	4.6651	4.6769	4.0651	5.5282
AC005537.2	4.7013	3.6557	4.232	5.9889	4.1287	4.6486	3.9559	2.7347	4.1883	4.6699
AC005592.3	5.4888	5.4729	7.3202	6.899	5.7225	5.4769	4.2657	6.0172	4.9938	4.958
AC005606.14	6.3116	5.1884	7.797	6.6272	4.926	4.6162	4.4559	4.1166	5.8187	5.9595
AC005754.7 /// BC016751	4.2311	4.8793	5.7787	5.7626	5.0791	4.0505	6.314	4.2521	4.9226	6.0315
AC005785.2	6.3272	6.682	7.606	7.6209	6.4795	5.4782	7.1583	4.7676	3.8717	4.5183
AC005838.2	4.8849	5.8775	3.4454	6.6728	5.0136	4.1568	4.6228	3.821	4.8594	5.5432
AC006026.13	5.9299	4.6994	5.7302	6.3658	8.3249	6.0635	5.5561	6.1168	8.502	6.3792
AC006129.2	6.0363	4.1278	5.8116	6.8464	6.3305	6.8983	3.0485	7.0172	5.8657	7.8492
AC006538.1	6.3994	5.7015	6.5861	6.9247	5.4946	6.6269	4.351	5.9644	5.336	6.7938
AC007228.11 /// BX647249	6.6472	7.1099	7.5259	8.8507	6.0961	6.6561	7.6082	7.2241	6.6245	6.7151
AC007255.8 /// BC038570	5.6573	6.3355	5.661	8.7177	6.5158	6.3679	6.5196	6.5875	5.5375	5.9778
AC007292.3	6.4135	7.0851	7.4548	8.6865	6.7696	5.6836	7.477	6.7519	6.5629	6.6103
AC007349.5	4.3947	4.1345	3.2817	6.3481	3.0932	4.7523	3.6716	5.0168	4.4576	5.0545
AC007362.3	6.68	5.315	6.3465	8.3958	6.3968	4.9996	5.7335	5.9871	4.7222	5.7529
AC007364.1 /// FLJ32955	5.2612	4.8532	8.1133	7.7121	3.5248	5.2378	5.1485	3.8383	4.6672	5.0443
AC007365.3	7.8665	7.2962	8.537	5.5911	7.2263	7.4253	8.0081	7.9595	6.7984	7.6109
AC007389.3	5.8102	6.2584	8.5353	7.1686	5.5235	5.588	5.3206	4.8368	5.1092	5.8913
AC007401.2	5.7865	7.154	4.4092	7.7878	3.9332	5.4418	6.885	5.6104	6.6147	4.9838
AC007557.2 /// BC031974	3.9535	6.0227	6.4765	7.9981	5.3704	5.4137	5.9469	5.9301	4.5337	5.4833
AC007680.2	3.7899	4.0744	5.3951	5.0103	5.3475	4.7225	5.1462	4.3778	1.9883	4.266
AC007787.2	4.569	4.2215	6.8827	5.8928	3.3766	4.4545	4.5372	3.2713	3.4773	3.9245
AC007967.3 /// RBMY2TP /// RBMY2TP	5.8041	5.2327	7.5615	8.1761	5.0802	5.8229	7.4777	6.6094	4.7453	7.0071
AC008088.4	6.2268	6.1708	7.6573	6.137	6.3626	5.2881	5.2027	7.1653	6.3351	5.7402
AC008746.12	4.8789	3.1103	4.1897	6.395	6.1184	5.4499	4.8273	5.4084	3.91	5.5613
AC008753.4	6.4021	6.2881	6.8246	6.635	5.901	6.4534	6.1945	7.4029	5.9942	6.0481
AC009120.6	6.9702	8.1243	8.9684	9.3129	7.7538	7.3468	8.6323	8.4704	8.5428	8.5188
AC009133.15	7.3386	8.3151	8.074	9.5688	8.0955	7.5619	7.504	7.415	7.2165	7.0192
AC009237.8 /// AK055967	6.6195	5.0726	7.6937	6.7088	6.5425	4.7934	4.7369	5.4197	5.6216	4.3293
AC009502.4	5.6903	5.2514	6.5757	8.5255	6.3812	5.9495	6.8827	6.5602	6.1692	4.9792
AC009947.3 /// RBMY2AP /// RBMY2AP /// RBMY2BP /// RBMY2BP /// RBMY2DP /// RBMY2DP	6.4821	4.3336	5.8636	8.1496	4.5376	6.6764	5.4485	3.6075	4.03	3.9376
AC010095.5 /// RP13-1039J1.3	3.9535	3.8214	6.6356	7.3379	3.4568	4.4708	3.5503	2.7642	2.1652	5.0532
AC010145.3 /// MYCNUN	6.2932	5.697	4.1796	6.9008	5.904	5.5269	5.4568	4.9321	3.6577	5.2997
AC010145.4	5.7936	6.0434	4.1542	7.0292	3.8318	5.1563	3.6486	3.4449	3.814	3.8411
AC010524.4	5.8009	6.5996	6.4642	8.8072	5.128	6.6617	7.1076	6.347	5.7063	6.9664
AC010980.2 /// LOC440934 /// LOC440934	5.9532	6.8162	6.8635	5.7483	5.9865	5.9594	7.4448	5.8431	4.5231	6.346
AC011997.1 /// BC021693	4.5532	4.4706	7.2338	5.7113	4.9893	4.8911	4.4025	5.3827	3.0319	4.8176
AC012065.7	6.0749	6.373	5.7582	7.6128	5.2555	5.0502	6.0895	6.4738	3.4807	5.1101
AC012360.6	5.5583	4.1749	8.0985	6.2905	5.2783	5.1273	6.2822	5.9814	3.6428	6.7543
AC012499.1	4.6935	6.0524	6.4478	8.636	5.2888	5.1819	6.0315	3.8724	2.8077	6.0147
AC012531.25	6.5071	4.7789	6.1299	7.9538	4.2735	5.2876	5.1812	2.773	4.482	3.9588
AC013463.2	4.7556	3.7439	5.1768	6.7214	5.5313	6.4808	6.3157	2.3326	4.4165	6.3739
AC013733.4	5.6248	3.2127	6.232	7.172	4.7556	4.9044	5.405	2.1011	2.8362	4.4004
AC016831.7	4.0492	4.0449	5.405	6.1813	6.0074	4.3644	6.3553	5.4125	4.9982	5.3041
AC016999.2	5.4411	5.873	7.7728	7.198	5.2499	6.3464	4.3376	5.7473	5.2191	6.9352
AC017002.2	4.7928	4.9003	7.0401	7.8716	5.2979	6.1662	9.0955	5.766	5.1832	7.2122
AC017104.6	7.7385	8.0649	5.7003	8.7725	5.7232	6.8146	4.329	5.1701	3.199	6.7428
AC018462.2 /// BC071802	7.8959	8.121	6.4334	8.0431	6.5388	6.7833	9.2228	8.7324	8.464	8.7758
AC018755.16	7.5845	7.8706	8.9809	7.6227	8.706	8.7556	8.3918	7.3099	7.337	8.1139
AC018755.17	4.8971	3.1696	4.0475	6.0366	4.2221	5.0447	5.6629	2.6917	3.0919	5.3235
